symbol,epic,type,expiry,marginFactor,minDealSize
"8053","8053","-","-","",""
"8233","8233","-","-","",""
"8253","8253","-","-","",""
"8306","8306","-","-","",""
"8308","8308","-","-","",""
"8316","8316","-","-","",""
"8331","8331","-","-","",""
"8358","8358","-","-","",""
"8411","8411","-","-","",""
"8604","8604","-","-","",""
"868","868","-","-","",""
"8802","8802","-","-","",""
"8830","8830","-","-","",""
"8TRA","8TRA","-","-","",""
"9001","9001","-","-","",""
"9020","9020","-","-","",""
"9021","9021","-","-","",""
"9064","9064","-","-","",""
"9104","9104","-","-","",""
"9201","9201","-","-","",""
"9432","9432","-","-","",""
"9433","9433","-","-","",""
"9501","9501","-","-","",""
"9503","9503","-","-","",""
"9531","9531","-","-","",""
"9532","9532","-","-","",""
"9618","9618","-","-","",""
"968","968","-","-","",""
"9866","9866","-","-","",""
"9888","9888","-","-","",""
"9896","9896","-","-","",""
"9983","9983","-","-","",""
"9984","9984","-","-","",""
"9988","9988","-","-","",""
"9992","9992","-","-","",""
"9999","9999","-","-","",""
"A17USG","A17USG","-","-","",""
"A2A","A2A","-","-","",""
"A2MAU","A2MAU","-","-","",""
"A3M","A3M","-","-","",""
"A50SG","A50SG","-","-","",""
"A5G","A5G","-","-","",""
"A","A","-","-","",""
"AA","AA","-","-","",""
"AACAU","AACAU","-","-","",""
"AAF","AAF","-","-","",""
"AAG","AAG","-","-","",""
"AAK","AAK","-","-","",""
"AAL","AAL","-","-","",""
"AALL","AALL","-","-","",""
"AAOI","AAOI","-","-","",""
"AAON","AAON","-","-","",""
"AAP","AAP","-","-","",""
"AAPL","AAPL","-","-","",""
"AAT","AAT","-","-","",""
"AAVEUSD","AAVEUSD","-","-","",""
"AAXJ","AAXJ","-","-","",""
"AAZ","AAZ","-","-","",""
"AB","AB","-","-","",""
"ABBN","ABBN","-","-","",""
"ABCL","ABCL","-","-","",""
"ABDN","ABDN","-","-","",""
"ABEV","ABEV","-","-","",""
"ABF","ABF","-","-","",""
"ABG","ABG","-","-","",""
"ABGAU","ABGAU","-","-","",""
"ABM","ABM","-","-","",""
"ABNB","ABNB","-","-","",""
"ABND","ABND","-","-","",""
"ABT","ABT","-","-","",""
"AC","AC","-","-","",""
"ACADS","ACADS","-","-","",""
"ACAP","ACAP","-","-","",""
"ACAUSD","ACAUSD","-","-","",""
"ACBCA","ACBCA","-","-","",""
"ACBR","ACBR","-","-","",""
"ACCS","ACCS","-","-","",""
"ACE","ACE","-","-","",""
"ACEUSD","ACEUSD","-","-","",""
"ACHR","ACHR","-","-","",""
"ACHUSD","ACHUSD","-","-","",""
"ACI","ACI","-","-","",""
"ACM","ACM","-","-","",""
"ACMR","ACMR","-","-","",""
"ACMUSD","ACMUSD","-","-","",""
"ACN","ACN","-","-","",""
"ACS","ACS","-","-","",""
"ACSO","ACSO","-","-","",""
"ACT","ACT","-","-","",""
"ACU","ACU","-","-","",""
"ACWI","ACWI","-","-","",""
