time,side,price,p
1663957800,BUY,3676.6201171875,0.556922321707145
1664209800,SL,3650.570068359375,
1664209800,BUY,3650.570068359375,0.5408552683156302
1664379000,TP,3697.550048828125,
1664379000,BUY,3697.550048828125,0.5715683179862648
1664458200,SL,3631.110107421875,
1664458200,SELL,3631.110107421875,0.5324945302400619
1664476200,REV->BUY,3625.929931640625,0.5611163449783528
1664566200,SL,3589.2900390625,
1664566200,SELL,3589.2900390625,0.5263975158949731
1664803800,SL,3656.659912109375,
1664803800,BUY,3656.659912109375,0.5585602338813218
1664890200,TP,3775.110107421875,
1664890200,BUY,3775.110107421875,0.6149708515227306
1664976600,SL,3728.719970703125,
1664976600,SELL,3728.719970703125,0.5397074015764104
1664980200,REV->BUY,3737.659912109375,0.525059384255244
1664991000,TP,3782.929931640625,
1664994600,BUY,3797.800048828125,0.5901469999979613
1665063000,SL,3748.739990234375,
1665063000,BUY,3748.739990234375,0.533870087571204
1665149400,SL,3673.2900390625,
1665149400,SELL,3673.2900390625,0.5214502574451247
1665167400,TP,3626.81005859375,
1665167400,BUY,3626.81005859375,0.5303106891813065
1665415800,SL,3601.469970703125,
1665415800,BUY,3601.469970703125,0.526309765396136
1665495000,SL,3578.530029296875,
1665498600,BUY,3603.7099609375,0.5468321620261205
1665513000,SL,3581.64990234375,
1665513000,BUY,3581.64990234375,0.5312959945273448
1665667800,SL,3530.909912109375,
1665671400,BUY,3612.8798828125,0.56235207836331
1665678600,TP,3663.360107421875,
1665678600,BUY,3663.360107421875,0.5606378381389283
1665754200,SL,3630.1298828125,
1665765000,SELL,3604.570068359375,0.5222451460100811
1666013400,SL,3677.780029296875,
1666013400,BUY,3677.780029296875,0.5977581192583533
1666099800,TP,3730.469970703125,
1666099800,BUY,3730.469970703125,0.551554576671973
1666103400,SL,3697.489990234375,
1666107000,BUY,3710.06005859375,0.5504938455814069
1666197000,SL,3676.85009765625,
1666197000,BUY,3676.85009765625,0.5261803672065327
1666272600,TP,3731.510009765625,
1666272600,BUY,3731.510009765625,0.564946694712567
1666279800,SL,3691.81005859375,
1666279800,BUY,3691.81005859375,0.5380537191255964
1666287000,SL,3658.050048828125,
1666287000,BUY,3658.050048828125,0.5211951380570299
1666366200,TP,3704.090087890625,
1666366200,BUY,3704.090087890625,0.5730673907867502
1666377000,TP,3756.510009765625,
1666377000,BUY,3756.510009765625,0.5678859191876244
1666636200,TP,3807.030029296875,
1666636200,BUY,3807.030029296875,0.5600494147982059
1666722600,TP,3858.27001953125,
1666722600,BUY,3858.27001953125,0.5331621251325963
1666809000,SL,3833.320068359375,
1666809000,BUY,3833.320068359375,0.5435966903186206
1666899000,SL,3808.8701171875,
1666899000,BUY,3808.8701171875,0.5391221255698047
1666967400,TP,3862.800048828125,
1666967400,BUY,3862.800048828125,0.5620572581395824
1667395800,SL,3832.280029296875,
1667395800,BUY,3832.280029296875,0.541766895893709
1667410200,TP,3888.5400390625,
1667410200,BUY,3888.5400390625,0.5619457711841391
1667413800,SL,3780.909912109375,
1667417400,BUY,3759.110107421875,0.5214925972705208
1667482200,SL,3735.85009765625,
1667489400,SELL,3740.260009765625,0.5790556124990093
1667493000,REV->BUY,3738.10009765625,0.5232140737618659
1667568600,TP,3785.2900390625,
1667568600,BUY,3785.2900390625,0.5769439553669709
1667572200,SL,3750.75,
1667575800,BUY,3735.699951171875,0.5248751918880341
1667586600,REV->SELL,3753.68994140625,0.5205728888502609
1667590200,REV->BUY,3770.419921875,0.5204052671053984
1667917800,TP,3827.6298828125,
1667917800,BUY,3827.6298828125,0.5454938925763899
1667932200,SL,3789.889892578125,
1667935800,BUY,3837.330078125,0.5421855844268566
1668004200,SL,3803.14990234375,
1668004200,SELL,3803.14990234375,0.52463033829322
1668011400,REV->BUY,3790.909912109375,0.5530572316479752
1668022200,SL,3760.780029296875,
1668090600,BUY,3905.110107421875,0.6145946499579217
1668112200,TP,3954.340087890625,
1668177000,BUY,3978.580078125,0.5270085857932464
1668180600,SL,3952.090087890625,
1668184200,BUY,3967.3701171875,0.539242110451287
1668522600,TP,4022.639892578125,
1668522600,BUY,4022.639892578125,0.5744612995581463
1668533400,SL,3970.8798828125,
1668533400,BUY,3970.8798828125,0.531052372969781
1668695400,SL,3924.8798828125,
1668702600,BUY,3935.510009765625,0.5217062403604571
1669138200,TP,3989.340087890625,
1669138200,BUY,3989.340087890625,0.5588788621259583
1669660200,SL,3964.669921875,
1669663800,BUY,3956.81005859375,0.5433596075172443
1669833000,TP,4034.22998046875,
1669833000,BUY,4034.22998046875,0.5799273076839891
1670261400,SL,4005.739990234375,
1670268600,BUY,3989.1201171875,0.5366101710965484
1670337000,SL,3961.0,
1670340600,BUY,3956.35009765625,0.5321648461473346
1670347800,SL,3931.2900390625,
1670355000,BUY,3922.97998046875,0.5337772428629952
1670509800,TP,3970.580078125,
1670509800,BUY,3970.580078125,0.5533230306686074
1670617800,SL,3934.360107421875,
1670855400,BUY,3945.330078125,0.5304197522957147
1670941800,TP,4054.9599609375,
1670941800,BUY,4054.9599609375,0.5901071174543528
1670949000,SL,4003.840087890625,
1670949000,BUY,4003.840087890625,0.558509589002383
1671114600,SL,3911.56005859375,
1671114600,SELL,3911.56005859375,0.5347289082144724
1671132600,REV->BUY,3905.8701171875,0.5707599154380616
1671201000,SL,3844.4599609375,
1671204600,BUY,3841.72998046875,0.5481162311593607
1671474600,SL,3803.6201171875,
1671546600,BUY,3830.949951171875,0.5218777745326929
1671636600,TP,3880.639892578125,
1671636600,BUY,3880.639892578125,0.5258806932187868
